MARCA,MODELO,PRECIO,IVA,FECHA_DE_EMESION,COLOR
Toronado,1992,"€94257,44","€2631,54",2010-02-25,BLANCO
Familia,1989,"€59834,35","€2825,04",2013-11-30,ROJO
LeMans,1991,"€38831,41","€3007,41",2019-08-21,VERDE
Karif,1990,"€17641,49","€1670,90",2016-06-09,GRIS
A8,1999,"€42731,83","€2400,46",2020-02-02,BLANCO
PT Cruiser,2006,"€15194,78","€3451,40",2017-07-07,ROJO
Town & Country,2008,"€69053,75","€3169,39",2014-11-13,ROJO
B-Series,2007,"€99874,33","€2702,73",2014-09-29,GRIS
Rio,2001,"€39606,55","€2929,83",2011-12-04,BLANCO
911,2013,"€71755,54","€3204,73",2014-10-03,NEGRO
Biturbo,1986,"€13927,92","€2961,50",2017-01-11,VERDE
Capri,1985,"€37389,29","€3459,94",2015-07-06,BLANCO
RX-8,2011,"€14304,74","€3362,04",2018-03-27,ROJO
9-5,2003,"€26868,07","€3181,39",2020-01-11,GRIS
Ram Van B250,1994,"€53870,08","€3237,90",2017-09-04,NEGRO
SVX,1994,"€67606,14","€2286,78",2015-09-10,NEGRO
Bonneville,1994,"€23474,42","€1757,00",2017-01-11,VERDE
Maxima,1998,"€28173,21","€2285,08",2014-06-26,ROJO
Tribeca,2011,"€58147,98","€1689,36",2016-03-21,NEGRO
S-Class,2008,"€57494,71","€2383,95",2012-02-16,VERDE
Yukon XL 1500,2013,"€93742,41","€2063,41",2019-11-08,VERDE
Edge,2008,"€54002,70","€1595,47",2012-12-29,VERDE
Space,1994,"€30810,12","€1638,09",2016-12-23,GRIS
Prelude,1998,"€40238,05","€1993,03",2019-03-29,NEGRO
Scirocco,1986,"€67262,56","€2560,17",2016-11-09,VERDE
IPL G,2011,"€36260,71","€2000,47",2011-10-25,ROJO
300,1999,"€38725,25","€2908,46",2016-05-23,ROJO
Beretta,1995,"€25178,04","€1747,97",2011-06-11,ROJO
Sportage,1997,"€37749,56","€3252,55",2018-12-13,BLANCO
CL,1998,"€79161,42","€2652,29",2010-12-26,BLANCO
Cirrus,1995,"€98409,34","€2822,26",2016-01-06,NEGRO
E350,2004,"€91987,28","€1580,47",2019-08-25,NEGRO
Avalanche 1500,2006,"€96665,23","€3067,94",2016-03-02,VERDE
TT,2001,"€85673,21","€1580,15",2010-11-05,NEGRO
V8 Vantage S,2012,"€11127,46","€2051,86",2018-09-04,GRIS
SRX,2009,"€45351,95","€2425,60",2011-07-12,ROJO
A8,2011,"€29317,52","€1921,49",2011-12-26,GRIS
Tempo,1994,"€43493,21","€3023,78",2011-02-14,ROJO
Mazdaspeed 3,2007,"€98548,40","€2918,42",2018-02-16,NEGRO
MX-3,1993,"€75025,64","€1818,36",2012-09-11,GRIS
Sprinter,2008,"€48752,65","€2095,67",2012-08-29,NEGRO
Tundra,2010,"€93881,45","€2386,21",2018-11-22,GRIS
Cavalier,2000,"€41404,29","€2667,47",2020-04-01,ROJO
Five Hundred,2005,"€8663,26","€2606,40",2019-02-23,NEGRO
Land Cruiser,2005,"€19003,01","€2897,49",2017-05-27,ROJO
Mazda5,2006,"€66864,22","€2579,93",2017-03-14,NEGRO
Firebird,1969,"€70384,56","€3213,94",2011-12-19,BLANCO
Fit,2011,"€26571,41","€3191,79",2013-06-17,GRIS
Continental Mark VII,1987,"€76443,39","€1645,01",2018-10-10,VERDE
Wrangler,2000,"€10512,58","€2214,22",2012-10-20,ROJO
Pacifica,2006,"€30655,49","€2872,53",2019-10-06,BLANCO
M-Class,2004,"€91985,85","€1968,77",2017-05-15,ROJO
Grand Vitara,2009,"€25615,87","€1940,82",2016-02-03,BLANCO
Fusion,2012,"€99772,26","€1624,91",2014-05-01,ROJO
626,1990,"€19170,47","€3015,27",2017-07-03,VERDE
Matrix,2007,"€84230,43","€1630,80",2017-08-06,BLANCO
Probe,1997,"€68678,80","€2111,37",2016-02-19,ROJO
Ram 1500 Club,1995,"€34054,25","€1726,81",2012-01-08,VERDE
Seville,1995,"€32631,82","€2719,59",2011-12-22,GRIS
Passat,1997,"€47676,09","€3301,82",2013-10-04,NEGRO
Corolla,2003,"€34621,16","€2473,94",2018-02-22,GRIS
Ram 2500 Club,1997,"€69337,42","€1614,13",2014-02-03,GRIS
Murano,2012,"€66876,48","€3106,93",2016-04-26,ROJO
Ranger,2010,"€86463,12","€3303,52",2015-04-21,VERDE
CR-V,2003,"€26033,42","€3245,50",2015-07-19,GRIS
Ram 1500 Club,1999,"€82880,53","€2035,69",2014-03-21,ROJO
Grand Prix,1992,"€8021,17","€3394,03",2018-12-03,BLANCO
Express 1500,2010,"€54422,61","€1998,05",2012-05-03,VERDE
Model T,1909,"€51215,05","€2875,33",2019-08-17,ROJO
Impala,2002,"€30508,19","€3041,69",2011-10-17,NEGRO
Firebird,1986,"€28968,22","€2703,87",2014-12-03,BLANCO
Accord,1992,"€26595,04","€3153,67",2016-06-01,BLANCO
Town & Country,2007,"€71300,18","€2019,58",2014-03-11,BLANCO
S-Class,2000,"€38156,58","€2479,36",2020-03-09,ROJO
E350,2009,"€64899,77","€3147,01",2018-08-01,NEGRO
Tracker,2003,"€86117,78","€1895,52",2018-10-12,VERDE
626,1997,"€98361,89","€2785,58",2010-09-02,GRIS
Mountaineer,2003,"€16228,63","€1950,73",2015-08-18,GRIS
Thunderbird,2002,"€50472,48","€1896,05",2014-11-18,NEGRO
3 Series,1992,"€95640,13","€3422,88",2011-12-03,NEGRO
Savana 1500,2001,"€33875,93","€2600,61",2016-10-18,NEGRO
Grand Prix,1987,"€81639,18","€2293,61",2018-10-28,BLANCO
Avenger,1997,"€22801,90","€2737,62",2018-10-09,GRIS
E-Class,1987,"€36204,90","€2350,53",2016-06-03,GRIS
Express 1500,1997,"€97025,45","€2391,50",2018-05-29,VERDE
Ram Wagon B350,1993,"€87524,55","€2683,49",2012-04-15,GRIS
Suburban 2500,1994,"€38776,52","€3372,04",2012-10-22,BLANCO
Sentra,1993,"€17429,11","€2226,06",2019-05-06,ROJO
Endeavor,2005,"€68463,57","€2222,13",2014-10-25,VERDE
Park Avenue,1997,"€33617,50","€2395,78",2012-01-20,NEGRO
MX-5,2005,"€38752,94","€3221,36",2010-07-08,BLANCO
B-Series Plus,1998,"€35183,94","€1659,62",2020-07-17,NEGRO
Equus,2011,"€62625,83","€2021,47",2018-07-23,GRIS
S2000,2005,"€93990,06","€2059,65",2014-05-04,GRIS
G-Series G10,1992,"€29901,58","€3138,06",2013-08-13,VERDE
Grand Marquis,1988,"€98266,33","€1817,61",2010-12-11,GRIS
Savana,2011,"€97842,63","€1589,41",2018-06-13,VERDE
Eclipse,1991,"€33620,39","€3302,62",2015-07-23,VERDE
Pilot,2007,"€90931,65","€2057,95",2011-02-07,ROJO
Passport,1995,"€11260,39","€3138,09",2010-02-13,NEGRO
Scirocco,1986,"€79480,87","€2673,36",2018-05-23,NEGRO
Mazda5,2008,"€37284,59","€2594,97",2018-01-14,BLANCO
Yukon XL 2500,2002,"€21967,96","€2706,35",2011-10-27,NEGRO
Prizm,1999,"€21463,61","€2329,10",2019-09-01,ROJO
Suburban 2500,1999,"€25956,17","€1829,36",2010-11-02,GRIS
Forenza,2006,"€42098,03","€2016,47",2010-09-24,NEGRO
Blackwood,2003,"€38316,42","€1817,11",2010-06-12,GRIS
929,1987,"€61368,35","€3268,06",2016-03-03,ROJO
911,2008,"€72586,84","€3409,79",2017-03-16,BLANCO
Dakota,1997,"€95136,66","€3206,23",2010-05-04,ROJO
S5,2009,"€57150,42","€1679,72",2016-12-06,VERDE
Aspen,1976,"€69504,03","€1720,05",2018-10-04,VERDE
Mustang,1999,"€43853,91","€1784,85",2013-09-26,BLANCO
Spyder,1989,"€54615,92","€2101,34",2010-03-11,VERDE
MX-5,1997,"€70185,73","€2269,54",2017-07-06,GRIS
M,2000,"€37402,18","€1887,65",2010-10-17,ROJO
Crossfire,2007,"€74556,63","€2890,85",2011-09-03,GRIS
Durango,2003,"€9041,00","€1665,54",2016-10-20,BLANCO
V50,2005,"€90453,86","€2464,26",2015-10-15,GRIS
Accord,1988,"€65392,66","€1799,80",2018-06-14,ROJO
Civic GX,2003,"€59031,11","€2762,00",2010-03-25,BLANCO
Sportvan G20,1994,"€37143,41","€2770,17",2015-10-25,ROJO
968,1994,"€59710,60","€2475,19",2013-04-25,GRIS
Legacy,2003,"€49494,14","€3238,36",2018-01-09,VERDE
Sable,1999,"€9060,27","€2513,31",2010-02-24,NEGRO
V8,1990,"€25763,97","€2770,86",2018-08-08,VERDE
Challenger,2008,"€50309,05","€2618,39",2014-01-11,VERDE
Galant,2008,"€54535,15","€2017,14",2012-03-04,VERDE
Patriot,2010,"€66253,38","€2720,22",2019-05-17,VERDE
929,1991,"€11881,73","€2639,07",2012-08-17,NEGRO
GLI,2009,"€73616,14","€2580,48",2014-12-29,NEGRO
Jetta,2001,"€17967,69","€2037,03",2018-11-19,NEGRO
Express 3500,2008,"€43902,79","€1968,69",2017-10-21,GRIS
GS,1998,"€18692,60","€2666,93",2015-04-19,BLANCO
Cayenne,2013,"€93620,00","€1800,38",2018-05-16,BLANCO
911,1991,"€38421,49","€3119,50",2013-11-15,NEGRO
LeMans,1965,"€8436,96","€1743,24",2013-12-21,ROJO
Trooper,2002,"€76405,34","€2680,87",2017-03-19,GRIS
F150,1995,"€47944,13","€3163,46",2012-09-22,BLANCO
Legend,1993,"€11979,34","€2491,85",2015-12-08,GRIS
RL,1996,"€65213,70","€2427,41",2020-05-10,BLANCO
Sierra 1500,1999,"€61877,05","€1889,34",2017-04-23,GRIS
Sentra,2011,"€66892,44","€3133,29",2013-11-22,BLANCO
Countach,1990,"€12710,27","€2053,52",2013-02-20,GRIS
Tredia,1984,"€28438,55","€2847,50",2016-08-29,BLANCO
S70,2000,"€16342,00","€2633,99",2019-01-16,GRIS
Voyager,2003,"€80112,88","€2932,70",2016-12-29,VERDE
Sonoma,2004,"€19221,82","€1765,92",2012-10-12,ROJO
Aveo,2009,"€30990,74","€2081,85",2013-02-16,GRIS
3 Series,2010,"€45059,25","€2823,76",2010-07-01,BLANCO
Tempo,1986,"€21086,40","€2907,42",2016-04-21,BLANCO
Voyager,1993,"€97518,29","€1936,40",2010-10-10,BLANCO
Eldorado,1997,"€68842,60","€2670,57",2016-10-24,NEGRO
Maxima,2010,"€71636,12","€3399,78",2010-07-05,NEGRO
Gallardo,2006,"€66902,96","€2186,73",2016-05-18,ROJO
Lucerne,2006,"€21768,31","€2568,00",2018-05-10,BLANCO
LR3,2007,"€56492,87","€3268,62",2017-01-11,GRIS
Continental,1985,"€81078,48","€3342,26",2017-05-23,NEGRO
X6 M,2013,"€80065,79","€2824,76",2020-01-03,NEGRO
Grand Prix,1978,"€87544,55","€2627,44",2013-09-30,VERDE
Legacy,1996,"€46153,97","€2208,41",2019-11-15,NEGRO
Xterra,2008,"€32163,63","€2573,79",2020-02-29,NEGRO
Corolla,2006,"€45881,67","€3265,64",2015-03-14,GRIS
Ram 3500,2010,"€78823,66","€3107,30",2011-06-01,BLANCO
Continental,1996,"€48191,38","€2625,01",2012-08-11,BLANCO
Thunderbird,1987,"€13056,98","€3459,50",2010-06-06,NEGRO
Thunderbird,2006,"€38708,48","€3192,05",2017-01-22,NEGRO
Scirocco,1986,"€72688,10","€1913,31",2014-10-13,BLANCO
Tacoma Xtra,1997,"€47946,52","€1983,26",2011-10-12,NEGRO
Esteem,1999,"€10548,57","€2127,21",2019-11-27,BLANCO
Land Cruiser,2007,"€77578,77","€1709,19",2014-03-14,ROJO
Grand Am,1990,"€40680,97","€2766,83",2013-08-12,BLANCO
Crossfire,2005,"€43316,75","€2897,81",2013-01-28,BLANCO
B-Series Plus,1995,"€55659,93","€2129,83",2010-06-11,NEGRO
C70,2001,"€49522,66","€1893,31",2013-09-23,NEGRO
Rendezvous,2004,"€48233,58","€2097,66",2020-03-15,BLANCO
Camaro,1969,"€56614,58","€2668,96",2016-05-12,NEGRO
Civic,2008,"€56988,65","€2867,36",2016-03-23,BLANCO
Murano,2010,"€78491,32","€1954,43",2020-03-25,ROJO
Firebird,1967,"€33722,41","€1781,69",2020-05-08,VERDE
Viper,2006,"€17464,39","€1940,64",2012-01-15,ROJO
GS,2009,"€39612,36","€3164,53",2017-11-08,NEGRO
Grand Marquis,1989,"€58345,04","€1709,93",2017-07-24,VERDE
MX-5,2012,"€79586,81","€2846,86",2018-11-19,GRIS
Safari,1993,"€22972,92","€3006,58",2018-05-19,NEGRO
Crown Victoria,1995,"€80628,66","€2460,62",2013-05-08,BLANCO
Explorer Sport Trac,2000,"€81024,13","€1785,14",2018-06-16,GRIS
Tucson,2005,"€86418,66","€1750,00",2017-06-04,VERDE
Mazda5,2006,"€64180,62","€1663,45",2013-10-06,NEGRO
Stratus,2001,"€22215,45","€2980,59",2015-02-15,NEGRO
Topaz,1994,"€55182,58","€3324,91",2010-09-27,GRIS
CL-Class,2007,"€66190,45","€3286,57",2018-05-30,BLANCO
Intrepid,2000,"€83062,34","€2333,57",2018-02-09,ROJO
Brat,1984,"€72701,78","€1599,90",2019-06-24,BLANCO
Sierra,2011,"€45717,05","€2971,91",2019-03-15,BLANCO
Vigor,1992,"€19575,21","€2712,18",2015-02-20,GRIS
Tahoe,1996,"€26730,24","€2771,55",2013-06-03,VERDE
V12 Vantage,2012,"€21940,59","€2968,52",2011-09-11,ROJO
SC,2010,"€69240,25","€1870,47",2012-04-09,ROJO
Outlander,2008,"€84608,21","€2856,24",2013-04-18,BLANCO
Explorer Sport,2001,"€86268,84","€2934,16",2019-02-06,GRIS
LeMans,1991,"€95628,62","€2779,00",2013-11-12,ROJO
Ram 3500,1996,"€91159,83","€1926,68",2013-09-13,ROJO
Stealth,1995,"€47041,02","€2141,42",2016-01-11,BLANCO
Ram Van 1500,1997,"€52691,37","€2343,53",2017-06-10,GRIS
Mini,1963,"€91894,72","€2489,87",2014-12-08,NEGRO
Q,2002,"€39038,28","€3014,92",2012-02-11,NEGRO
CL-Class,2001,"€81088,64","€2168,50",2018-05-09,BLANCO
Civic,1996,"€61264,56","€1751,87",2016-07-29,GRIS
Eclipse,2012,"€49110,24","€2676,05",2011-05-09,GRIS
C-Class,1994,"€62446,87","€2498,25",2013-05-14,VERDE
500E,1992,"€86517,55","€1580,92",2014-07-04,ROJO
riolet,1994,"€85616,18","€2345,20",2020-06-05,BLANCO
Navigator L,2011,"€82296,34","€2319,18",2010-11-16,BLANCO
626,1986,"€85248,17","€1728,20",2018-05-31,BLANCO
Firebird,1967,"€58288,75","€3405,25",2019-07-01,ROJO
2500,1993,"€23734,92","€3306,68",2018-07-20,NEGRO
CLK-Class,2006,"€77202,47","€3017,53",2011-06-28,ROJO
F-Series,2001,"€45845,63","€1656,30",2018-02-09,BLANCO
MX-6,1989,"€9054,46","€2261,33",2011-11-16,VERDE
Intrepid,1999,"€42405,28","€3472,11",2016-12-31,BLANCO
HHR,2009,"€95400,89","€1667,12",2019-06-19,NEGRO
Integra,1997,"€25457,31","€2858,87",2015-11-18,BLANCO
Mustang,2010,"€52013,44","€2029,85",2010-04-28,BLANCO
Corvette,1986,"€47456,02","€2395,56",2010-11-18,ROJO
Taurus,1996,"€51781,73","€3128,80",2014-04-11,GRIS
Cayenne,2011,"€12858,24","€2355,36",2015-07-01,ROJO
Colt,1992,"€12034,74","€2336,85",2010-06-01,ROJO
New Yorker,1996,"€75416,50","€1767,41",2017-04-22,ROJO
Compass,2012,"€66278,15","€2508,88",2015-03-15,VERDE
Galant,1994,"€99568,30","€3133,67",2020-01-09,VERDE
HHR,2009,"€51280,69","€1918,63",2011-11-26,NEGRO
Amanti,2007,"€13795,94","€2967,60",2012-04-20,NEGRO
New Beetle,2012,"€53176,89","€1710,80",2010-07-31,GRIS
B-Series Plus,1997,"€41298,06","€2501,48",2018-11-07,ROJO
SLS AMG,2012,"€24573,10","€2884,24",2013-07-30,NEGRO
S-Type,2005,"€31230,13","€1609,88",2010-12-26,BLANCO
Compass,2007,"€51558,63","€2718,86",2016-06-07,VERDE
VehiCROSS,2000,"€24203,55","€2242,07",2012-02-28,NEGRO
Legacy,1999,"€94750,68","€2937,02",2016-04-15,VERDE
Escort,1995,"€85421,49","€1940,21",2020-07-04,VERDE
GX,2012,"€34969,97","€3043,05",2014-11-13,NEGRO
MR2,2003,"€18393,05","€2189,63",2014-01-30,NEGRO
Express 3500,2007,"€32604,39","€2973,10",2014-10-07,VERDE
RDX,2011,"€66756,38","€1673,50",2018-03-30,BLANCO
Escape,2008,"€27740,72","€1709,82",2011-12-05,NEGRO
Corvette,1960,"€53723,27","€2800,47",2016-11-27,GRIS
Savana 1500,2012,"€62643,86","€1612,21",2012-05-31,ROJO
Dakota,1996,"€55283,56","€2887,37",2010-12-27,VERDE
Uplander,2005,"€56307,51","€3211,40",2011-01-04,NEGRO
Pathfinder,2006,"€43201,75","€3418,20",2019-05-29,NEGRO
Corvette,1999,"€71581,29","€2700,18",2018-09-23,GRIS
D150 Club,1992,"€22622,80","€3395,49",2019-01-22,ROJO
500,2012,"€52742,00","€3236,79",2011-07-10,ROJO
V40,2003,"€33006,58","€3342,17",2020-06-08,VERDE
Vandura 1500,1994,"€51868,08","€2571,87",2017-09-28,GRIS
E150,2004,"€53412,12","€3066,11",2012-05-07,BLANCO
Park Avenue,2000,"€64344,73","€1955,87",2016-02-23,BLANCO
Vibe,2006,"€52584,96","€3307,69",2019-04-13,VERDE
E-Series,2005,"€12572,79","€2684,60",2015-09-13,VERDE
Supra,1998,"€64206,26","€1962,42",2012-03-04,GRIS
DeVille,2003,"€94313,29","€1751,98",2017-02-12,NEGRO
Yaris,2011,"€43283,50","€3106,39",2018-02-10,BLANCO
Accord,2007,"€19080,65","€1773,95",2020-02-15,BLANCO
Suburban 2500,2009,"€74886,34","€2150,84",2017-01-04,BLANCO
GT-R,2013,"€23642,13","€2269,19",2014-03-25,NEGRO
ES,1992,"€27060,82","€3454,11",2017-05-01,NEGRO
Chariot,1990,"€55565,33","€3262,01",2014-02-21,BLANCO
Elantra,1995,"€45283,68","€2091,55",2015-04-25,BLANCO
Tribeca,2008,"€86802,98","€2229,76",2017-05-29,VERDE
GranTurismo,2009,"€37351,01","€2205,50",2012-06-29,ROJO
Acadia,2012,"€36018,91","€3362,92",2019-12-08,GRIS
Land Cruiser,2005,"€12434,37","€3004,04",2012-02-19,NEGRO
Grand Am,1988,"€63684,31","€1894,36",2012-07-19,ROJO
9000,1990,"€41558,54","€2960,59",2010-04-19,BLANCO
Truck,1986,"€30511,43","€2401,58",2010-02-13,NEGRO
Town Car,1999,"€10711,55","€2960,45",2013-03-01,VERDE
Boxster,2010,"€70525,37","€3279,64",2018-11-05,VERDE
Camaro,1998,"€96194,59","€2842,52",2013-06-21,VERDE
Avalanche 1500,2004,"€86201,06","€3054,64",2017-08-10,ROJO
Aerostar,1993,"€76421,29","€2310,09",2015-04-20,BLANCO
EX,2012,"€19894,43","€2462,97",2020-06-19,VERDE
Trans Sport,1997,"€49297,85","€2526,01",2018-12-24,NEGRO
Vantage,2009,"€86698,49","€2595,53",2012-06-26,GRIS
Envoy XL,2005,"€42893,06","€2336,64",2010-08-14,NEGRO
Silverado 2500,2005,"€99856,72","€2923,18",2011-01-07,NEGRO
GTI,2005,"€13524,32","€3386,95",2012-08-01,BLANCO
XR4Ti,1985,"€84336,28","€2840,43",2013-04-14,NEGRO
Yukon XL 1500,2012,"€82065,38","€3387,50",2010-04-08,GRIS
RS4,2008,"€40185,84","€3035,91",2011-06-09,NEGRO
Insight,2002,"€24561,91","€3418,15",2014-01-20,GRIS
Ram,2009,"€74092,32","€3026,45",2012-12-26,VERDE
MR2,1986,"€22927,65","€2153,47",2017-04-20,VERDE
G-Series 2500,1996,"€12087,60","€1711,89",2012-02-19,VERDE
911,1985,"€91633,88","€2325,80",2017-09-08,GRIS
Grand Cherokee,2012,"€96418,55","€1757,75",2010-11-24,ROJO
Tahoe,2009,"€55536,97","€2344,14",2020-02-03,ROJO
Grand Caravan,2002,"€45905,43","€2225,49",2016-08-14,NEGRO
Odyssey,1998,"€21316,96","€2097,68",2014-02-07,BLANCO
Legacy,2000,"€27147,01","€3072,64",2010-02-16,GRIS
Express 3500,2012,"€28187,67","€3464,99",2015-04-06,NEGRO
Miata MX-5,2003,"€91147,01","€3057,32",2017-08-28,ROJO
CLK-Class,1999,"€48089,33","€2628,69",2013-05-09,VERDE
900,1993,"€28664,17","€2214,11",2014-06-30,GRIS
Ram Wagon B250,1992,"€57041,55","€2854,18",2011-01-26,GRIS
Q7,2011,"€23980,16","€1814,82",2017-07-30,BLANCO
Sephia,1997,"€59128,69","€2050,04",2012-08-02,ROJO
Corvette,1973,"€65760,32","€1584,05",2013-12-03,ROJO
G-Series 1500,1996,"€89242,63","€2318,55",2014-12-19,VERDE
Dakota,1992,"€90421,64","€3296,31",2013-12-26,NEGRO
LR4,2012,"€68778,84","€2383,69",2018-03-10,VERDE
Tahoe,2010,"€40737,62","€2590,50",2012-03-16,NEGRO
Sierra 2500,2011,"€46121,43","€3101,82",2014-10-22,ROJO
Express 2500,2003,"€49819,93","€2979,16",2012-05-30,GRIS
QX,2004,"€98568,08","€2049,83",2020-05-05,NEGRO
Transit Connect,2012,"€84226,54","€3290,42",2016-05-31,VERDE
Camaro,1997,"€91841,23","€1768,31",2013-06-29,VERDE
600,1959,"€65722,24","€2259,03",2016-01-19,NEGRO
LSS,1997,"€68016,09","€3107,95",2019-07-22,NEGRO
STS-V,2009,"€45504,57","€1969,49",2014-07-19,NEGRO
Escape,2000,"€13992,06","€2584,43",2013-10-31,VERDE
SL-Class,2005,"€49706,17","€2121,37",2016-02-14,ROJO
Explorer,2002,"€98630,67","€3203,67",2017-04-11,ROJO
Ranger,2010,"€65898,36","€2511,56",2015-06-02,VERDE
F-Series,2007,"€40648,73","€1663,89",2011-08-02,ROJO
Sienna,2001,"€84718,35","€1615,00",2018-11-23,VERDE
Bonneville,1967,"€60084,07","€3444,56",2012-06-28,ROJO
Exige,2012,"€97306,43","€2475,78",2012-08-27,NEGRO
Grand Am,1997,"€47029,36","€1913,83",2019-11-08,GRIS
Optima,2005,"€77066,37","€2643,38",2016-01-20,ROJO
Caravan,2003,"€30162,35","€2150,86",2015-08-14,ROJO
Silverado 3500,2010,"€26034,41","€1716,58",2013-03-31,ROJO
Yukon XL 1500,2008,"€30995,28","€3070,37",2015-07-21,BLANCO
R-Class,2012,"€34469,12","€3427,90",2012-09-02,BLANCO
9-7X,2005,"€38184,74","€3005,07",2017-09-24,ROJO
Savana 3500,2005,"€80035,51","€1742,46",2018-03-19,NEGRO
Sportage,1995,"€46461,52","€2305,72",2016-10-11,GRIS
Explorer Sport Trac,2000,"€64737,83","€2295,65",2016-04-02,GRIS
V8,1991,"€88467,77","€1619,21",2016-12-09,BLANCO
Vantage,2007,"€49484,82","€2546,52",2013-12-14,BLANCO
Accord,1985,"€64422,68","€2310,03",2016-02-19,NEGRO
F-Series,2002,"€16672,14","€3330,51",2014-10-12,ROJO
Trans Sport,1998,"€78438,52","€2780,42",2013-12-22,ROJO
Altima,1998,"€99396,79","€3101,09",2017-11-06,GRIS
ES,2006,"€57818,41","€2555,92",2014-06-23,NEGRO
Swift,1988,"€91466,88","€2649,19",2016-06-08,ROJO
Explorer Sport Trac,2003,"€20121,95","€2934,18",2019-02-13,GRIS
LaCrosse,2007,"€22385,30","€3079,67",2012-06-26,BLANCO
Eurovan,1992,"€67955,90","€2815,34",2018-12-29,ROJO
Carrera GT,2004,"€30943,52","€2006,82",2010-06-27,GRIS
Outlander,2008,"€22241,05","€2592,51",2010-04-25,BLANCO
Cayenne,2006,"€30855,15","€2001,42",2016-10-01,NEGRO
Boxster,2007,"€80068,67","€1649,82",2019-07-30,ROJO
Express 2500,2007,"€64557,87","€2213,41",2012-04-05,NEGRO
A8,2006,"€59016,84","€2606,96",2019-06-16,BLANCO
Mark VIII,1995,"€36118,81","€2436,61",2017-08-31,GRIS
Civic,1995,"€57101,77","€1622,61",2012-03-02,BLANCO
626,1991,"€27750,25","€2749,57",2017-09-14,ROJO
Millenia,1998,"€22150,81","€3389,97",2019-05-25,VERDE
Bonneville,1967,"€74379,57","€2053,26",2013-09-08,NEGRO
Yukon,1995,"€89410,43","€3119,70",2015-01-23,VERDE
850,1996,"€86866,64","€1877,90",2020-05-08,BLANCO
Cutlass Supreme,1993,"€34751,50","€3237,60",2020-03-31,BLANCO
EX,2009,"€42311,44","€2143,02",2015-03-15,NEGRO
H2,2008,"€15033,86","€3127,45",2015-08-27,GRIS
Jetta,1988,"€66675,36","€2015,20",2019-07-07,ROJO
S-Series,1997,"€48773,12","€1778,55",2016-02-06,VERDE
Maxima,1990,"€85187,28","€2652,76",2012-04-26,VERDE
Monte Carlo,1997,"€37650,31","€1831,77",2017-06-30,VERDE
Titan,2012,"€19237,63","€1759,72",2020-03-13,NEGRO
Regal,2011,"€14204,42","€3244,95",2014-07-30,BLANCO
B-Series Plus,1994,"€51700,49","€1674,88",2018-05-04,ROJO
Firebird,1969,"€49750,04","€3106,92",2014-05-31,BLANCO
F250,2000,"€98236,20","€1780,18",2018-03-07,BLANCO
Entourage,2009,"€73999,84","€3120,17",2020-04-25,GRIS
GTI,1989,"€61860,87","€2006,54",2013-11-20,ROJO
Savana 1500,2005,"€56214,08","€2986,22",2019-12-09,NEGRO
Sierra 3500,2011,"€38721,92","€2983,72",2017-11-23,ROJO
FJ Cruiser,2007,"€54915,18","€1593,58",2017-09-21,VERDE
Z3,1998,"€11342,83","€1668,06",2010-04-16,GRIS
Camaro,1968,"€52234,96","€3428,13",2015-10-28,NEGRO
Viper RT/10,1995,"€77854,46","€2475,00",2015-12-10,GRIS
9-3,2012,"€82464,18","€3290,87",2018-04-08,ROJO
Dakota,2002,"€37496,64","€2371,79",2012-04-05,NEGRO
350Z,2003,"€52044,72","€2048,53",2010-10-01,VERDE
Optima,2005,"€19731,92","€2476,85",2019-12-04,VERDE
Skyhawk,1986,"€62988,34","€1784,24",2013-09-28,GRIS
Thunderbird,2006,"€93640,47","€2592,52",2014-02-04,GRIS
Galant,1995,"€23923,43","€2137,82",2011-04-30,VERDE
Dakota,2007,"€25833,96","€3380,67",2015-03-19,NEGRO
Equus,2012,"€42222,17","€3273,57",2013-03-15,ROJO
Mazda6,2009,"€85865,89","€2537,03",2017-11-26,ROJO
Diablo,1997,"€8789,60","€2279,20",2019-08-28,NEGRO
CL,2001,"€94018,15","€2676,28",2014-10-05,VERDE
F-Series,1997,"€56383,25","€2466,11",2014-01-20,ROJO
Sportvan G20,1993,"€11787,80","€3187,51",2018-02-23,NEGRO
LX,2013,"€38163,63","€1682,83",2015-10-29,VERDE
3500 Club Coupe,1993,"€35129,46","€2750,81",2015-10-11,ROJO
Firefly,1995,"€44466,93","€2588,52",2011-11-10,NEGRO
Probe,1997,"€39250,47","€3195,03",2012-03-27,VERDE
IS-F,2011,"€44215,24","€3463,14",2014-12-05,VERDE
Golf,1990,"€68163,76","€2165,98",2014-03-01,GRIS
Stratus,2002,"€12589,24","€1954,29",2018-09-29,ROJO
Viper,2004,"€14663,16","€3214,38",2016-02-06,VERDE
Taurus,2010,"€96325,89","€2412,77",2020-04-07,NEGRO
Ram 1500 Club,1997,"€71353,14","€3252,20",2014-02-15,GRIS
Cirrus,1998,"€99876,52","€1590,13",2015-02-10,GRIS
62,2003,"€50766,07","€3060,47",2017-02-08,ROJO
88,1993,"€24144,36","€2499,44",2013-11-30,GRIS
Celica,1992,"€59293,63","€3360,43",2018-05-23,ROJO
Passat,1994,"€66173,13","€3028,06",2017-08-25,GRIS
Century,1990,"€82303,77","€3459,18",2019-05-23,VERDE
SJ,1993,"€95634,90","€2658,68",2016-08-26,ROJO
